disturbance_type,src_stand_key,tgt_stand_key,src_species,tgt_species,src_origin,tgt_origin,src_si_class,tgt_si_class,src_growth_period,tgt_growth_period,src_mgmt_trajectory,tgt_mgmt_trajectory,reset_age
Site_Prep,BH1435-1-46,BH1435-1-46,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH1435-1-46,BH1435-1-46,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH1435-1-46,BH1435-1-46,LB,LB,PY,PY,SI85,SI85,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
Clearcut,BH2046-1-364,BH2046-1-364,LB,LB,PY,PY,SI75,SI75,current,post_regen,T1-17-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2046-1-364,BH2046-1-364,LB,LB,PY,PY,SI75,SI75,current,current,T1-17-T2-0-F1-0-F2-0,T1-17-T2-0-F1-0-F2-0,-1
1st_Thin,BH2046-1-364,BH2046-1-364,LB,LB,PY,PY,SI75,SI75,current,current,T1-17-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2046-1-364,BH2046-1-364,LB,LB,PY,PY,SI75,SI75,current,current,T1-17-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
1st_Thin,BH2046-1-385,BH2046-1-385,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH2046-1-385,BH2046-1-385,LB,LB,PY,PY,SI75,SI75,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2046-1-385,BH2046-1-385,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Site_Prep,BH2046-1-398,BH2046-1-398,COLL,COLL,OY,OY,SI65,SI65,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH2046-1-398,BH2046-1-398,COLL,COLL,OY,OY,SI65,SI65,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH2046-1-398,BH2046-1-398,COLL,LL,OY,OY,SI65,SI65,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
20.58% clearcut,BH2046-1-52,BH2046-1-52,HH,HH,NN,NN,SI95,SI95,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
45.38% clearcut,BH2046-1-52,BH2046-1-52,HH,HH,NN,NN,SI95,SI95,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
2.12% clearcut,BH2046-1-52,BH2046-1-52,HH,HH,NN,NN,SI95,SI95,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH2046-1-52,BH2046-1-52,HH,LB,NN,NN,SI95,SI95,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
1.52% clearcut,BH2046-1-52,BH2046-1-52,HH,HH,NN,NN,SI95,SI95,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
0.61% clearcut,BH2046-1-52,BH2046-1-52,HH,HH,NN,NN,SI95,SI95,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
43.86% clearcut,BH2046-1-52,BH2046-1-52,HH,HH,NN,NN,SI95,SI95,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1.51% clearcut,BH2046-1-52,BH2046-1-52,HH,HH,NN,NN,SI95,SI95,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH2046-1-53,BH2046-1-53,LB,LB,PY,PY,SI75,SI75,current,post_regen,T1-15-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2046-1-53,BH2046-1-53,LB,LB,PY,PY,SI75,SI75,current,current,T1-15-T2-0-F1-0-F2-0,T1-15-T2-0-F1-0-F2-0,-1
1st_Thin,BH2046-1-53,BH2046-1-53,LB,LB,PY,PY,SI75,SI75,current,current,T1-15-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2046-1-53,BH2046-1-53,LB,LB,PY,PY,SI75,SI75,current,current,T1-15-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
1st_Thin,BH2046-1-55,BH2046-1-55,LB,LB,PY,PY,SI50,SI50,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2046-1-55,BH2046-1-55,LB,LB,PY,PY,SI50,SI50,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
Clearcut,BH2046-1-55,BH2046-1-55,LB,LB,PY,PY,SI50,SI50,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2046-1-55,BH2046-1-55,LB,LB,PY,PY,SI50,SI50,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
Clearcut,BH2046-1-56,BH2046-1-56,LB,LB,PY,PY,SI75,SI75,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2046-1-56,BH2046-1-56,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
1st_Thin,BH2046-1-56,BH2046-1-56,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
2nd_Thin,BH2046-1-56,BH2046-1-56,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-14-T2-21-F1-15-F2-0,-1
Clearcut,BH2046-1-57,BH2046-1-57,LB,LB,PY,PY,SI70,SI70,current,post_regen,T1-16-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2046-1-57,BH2046-1-57,LB,LB,PY,PY,SI70,SI70,current,current,T1-16-T2-0-F1-0-F2-0,T1-16-T2-0-F1-0-F2-0,-1
1st_Thin,BH2046-1-57,BH2046-1-57,LB,LB,PY,PY,SI70,SI70,current,current,T1-16-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0,-1
Clearcut,BH2046-1-58,BH2046-1-58,LB,LB,NN,NN,SI75,SI75,current,post_regen,T1-15-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Clearcut,BH2046-1-61,BH2046-1-61,LB,LB,PY,PY,SI75,SI75,current,post_regen,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,0
Site_Prep,BH2046-1-61,BH2046-1-61,LB,LB,PY,PY,SI75,SI75,current,current,T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0,-1
